Age,Attrition,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,MonthlyIncome__log1p,mean_time__log1p,YearsWithCurrManager__winsor1,TotalWorkingYears__winsor5,NumCompaniesWorked__winsor5,MonthlyIncome__log1p_norm,Age_norm,DistanceFromHome_norm,NumCompaniesWorked_5_norm,TotalWorkingYears_norm,YearsAtCompany_norm,YearsSinceLastPromotion_norm,YearsWithCurrManager_1_norm,PercentSalaryHike_norm,mean_time__log1p_norm
51,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.784180855205214,2.063083475067018,0,1.0,1.0,1.4150198146924198,1.656364697303677,-0.382254309730628,-0.71706180253178,-1.2945599252271214,-1.1081545303385616,-0.7625006132385551,-1.0819588789285914,-1.1529377353384949,-0.28834311658358497
31,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10.642826285701982,2.1181813699957663,4,6.0,0.0,-0.3114458276237624,-0.5487141591464463,0.11641005976677875,-1.1317150612480988,-0.5554407316954253,-0.043409513318094325,0.008940543203802158,0.23392969468906633,2.1011482092617433,0.07362756393897432
32,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,12.171900367556262,2.0561857089268036,3,5.0,1.0,2.0015022582866253,-0.4384602163239401,0.9890727063872407,-0.71706180253178,-0.7032645704017645,-0.043409513318094325,-0.7625006132385551,-0.09504244871534814,-0.06824242047174892,-0.33365862468217283
32,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,10.0613883347884,2.183531250204217,4,9.0,4.0,-1.1909557294660393,-0.4384602163239401,0.11641005976677875,0.5268979736171766,-0.11196921557640759,0.22277674093702246,-0.7625006132385551,0.23392969468906633,-0.8817639066218085,0.5029496032239674
28,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,10.970454363368692,2.008334830464215,0,5.0,2.0,0.18413953617415216,-0.8794759876139647,0.24107615214113046,-0.3024085438154611,-0.7032645704017645,-1.3743407845936784,-0.7625006132385551,-1.0819588789285914,1.2876267231116836,-0.6480193650172485
29,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10.355549946021075,2.0233472673249278,0,10.0,2.0,-0.7459932886509779,-0.7692220447914586,1.1137387987615923,-0.3024085438154611,0.03585462312993165,-1.3743407845936784,-0.7625006132385551,-1.0819588789285914,1.8299743805450566,-0.5493937824282684
25,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.810367256050416,2.0351761253818204,5,6.0,1.0,1.4546305741909664,-1.2102378160814833,-0.25758821735627635,-0.71706180253178,-0.5554407316954253,0.22277674093702246,0.008940543203802158,0.5629018380934808,-0.6105900779051219,-0.4716830131476055
28,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,10.162808729968926,1.9306514680946736,4,5.0,1.0,-1.0375425549908033,-0.8794759876139647,-1.0055847716023865,-0.71706180253178,-0.7032645704017645,-0.043409513318094325,-0.7625006132385551,0.23392969468906633,-0.33941624918843544,-1.1583673479764254
37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10.886707695092223,1.9990446046078068,1,7.0,4.0,0.05746045738384817,0.11280949778859066,-1.0055847716023865,0.5268979736171766,-0.40761689298908604,-0.043409513318094325,-0.7625006132385551,-0.752986735524177,-1.1529377353384949,-0.7090523569273931
21,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10.648539090746434,1.950783966971427,0,3.0,1.0,-0.3028043748324629,-1.651253587371508,-0.7562525868536831,-0.71706180253178,-0.998912247814443,-0.5757820218283279,0.008940543203802158,-1.0819588789285914,-0.8817639066218085,-1.0261050477839766
